"sample.name","injection.order","class"
"S20",2,"Subject"
"S30",3,"Subject"
"S39",4,"Subject"
"S49",5,"Subject"
"S59",6,"Subject"
"S69",7,"Subject"
"S78",8,"Subject"
"S2",10,"Subject"
"S3",11,"Subject"
"S4",12,"Subject"
"S5",13,"Subject"
"S6",14,"Subject"
"S7",15,"Subject"
"S8",16,"Subject"
"S9",18,"Subject"
"S10",19,"Subject"
"S11",20,"Subject"
"S12",21,"Subject"
"S13",22,"Subject"
"S14",23,"Subject"
"S15",24,"Subject"
"S16",26,"Subject"
"S17",27,"Subject"
"S18",28,"Subject"
"S19",29,"Subject"
"S21",30,"Subject"
"S22",31,"Subject"
"S23",32,"Subject"
"S24",34,"Subject"
"S25",35,"Subject"
"S26",36,"Subject"
"S27",37,"Subject"
"S28",38,"Subject"
"S29",39,"Subject"
"S31",40,"Subject"
"S32",42,"Subject"
"S33",43,"Subject"
"S34",44,"Subject"
"S35",45,"Subject"
"S36",46,"Subject"
"S37",47,"Subject"
"S38",48,"Subject"
"S40",50,"Subject"
"S41",51,"Subject"
"S42",52,"Subject"
"S43",53,"Subject"
"S44",54,"Subject"
"S45",55,"Subject"
"S46",56,"Subject"
"S47",58,"Subject"
"S48",59,"Subject"
"S50",60,"Subject"
"S51",61,"Subject"
"S52",62,"Subject"
"S53",63,"Subject"
"S54",64,"Subject"
"S55",66,"Subject"
"S56",67,"Subject"
"S57",68,"Subject"
"S58",69,"Subject"
"S60",70,"Subject"
"S61",71,"Subject"
"S62",72,"Subject"
"S63",74,"Subject"
"S64",75,"Subject"
"S65",76,"Subject"
"S66",77,"Subject"
"S67",78,"Subject"
"S68",79,"Subject"
"S70",80,"Subject"
"S71",82,"Subject"
"S72",83,"Subject"
"S73",84,"Subject"
"S74",85,"Subject"
"S75",86,"Subject"
"S76",87,"Subject"
"S77",88,"Subject"
"S79",90,"Subject"
"S80",91,"Subject"
"S81",92,"Subject"
"S82",93,"Subject"
"S83",94,"Subject"
"S84",95,"Subject"
"S85",96,"Subject"
"S86",98,"Subject"
"S87",99,"Subject"
"S1",100,"Subject"
"S88",101,"Subject"
"S89",102,"Subject"
"S90",103,"Subject"
"S91",104,"Subject"
"S92",106,"Subject"
"S93",107,"Subject"
"S94",108,"Subject"
"S95",109,"Subject"
"S96",110,"Subject"
"S97",111,"Subject"
"S98",112,"Subject"
"S99",114,"Subject"
"S100",115,"Subject"
"S101",116,"Subject"
"S102",117,"Subject"
"S103",118,"Subject"
"S104",119,"Subject"
"S105",120,"Subject"
"S106",122,"Subject"
"S107",123,"Subject"
"S108",124,"Subject"
"S109",125,"Subject"
"S110",126,"Subject"
"S111",127,"Subject"
"S112",128,"Subject"
"S113",130,"Subject"
"S114",131,"Subject"
"S115",132,"Subject"
"S116",133,"Subject"
"S117",134,"Subject"
"S118",135,"Subject"
"S119",136,"Subject"
"S120",138,"Subject"
"S121",139,"Subject"
"S122",140,"Subject"
"S123",141,"Subject"
"S124",142,"Subject"
"S125",143,"Subject"
"S126",144,"Subject"
"S127",146,"Subject"
"S128",147,"Subject"
"S129",148,"Subject"
"S130",149,"Subject"
"S131",150,"Subject"
"S132",151,"Subject"
"S133",152,"Subject"
"S134",154,"Subject"
"S135",155,"Subject"
"S136",156,"Subject"
"S137",157,"Subject"
"S138",158,"Subject"
"S139",159,"Subject"
"S140",160,"Subject"
"S141",162,"Subject"
"S142",163,"Subject"
"S143",164,"Subject"
"S144",165,"Subject"
"S145",166,"Subject"
"S146",167,"Subject"
"S147",168,"Subject"
"S148",170,"Subject"
"S149",171,"Subject"
"S150",172,"Subject"
"S151",173,"Subject"
"S152",174,"Subject"
"S153",175,"Subject"
"S154",176,"Subject"
"QC1",1,"QC"
"QC2",9,"QC"
"QC3",17,"QC"
"QC4",25,"QC"
"QC5",33,"QC"
"QC6",41,"QC"
"QC7",49,"QC"
"QC8",57,"QC"
"QC9",65,"QC"
"QC10",73,"QC"
"QC11",81,"QC"
"QC12",89,"QC"
"QC13",97,"QC"
"QC14",105,"QC"
"QC15",113,"QC"
"QC16",121,"QC"
"QC17",129,"QC"
"QC18",137,"QC"
"QC19",145,"QC"
"QC20",153,"QC"
"QC21",161,"QC"
"QC22",169,"QC"
"QC23",177,"QC"
