"sample.id","tissue"
"GTEX-1QW4Y-1626-SM-EAZ41","Adipose - Subcutaneous"
"GTEX-139TU-0226-SM-5J1NM","Adipose - Subcutaneous"
"GTEX-1B8SG-0226-SM-7939Q","Adipose - Subcutaneous"
"GTEX-OIZI-0226-SM-2XCEE","Adipose - Subcutaneous"
"GTEX-14E1K-2126-SM-793DU","Adipose - Subcutaneous"
"GTEX-14B4R-0526-SM-5QGQT","Adipose - Visceral (Omentum)"
"GTEX-Y111-0926-SM-4SOIU","Adipose - Visceral (Omentum)"
"GTEX-139D8-1626-SM-5IJFZ","Adipose - Visceral (Omentum)"
"GTEX-1QMI2-1626-SM-EYYXK","Adipose - Visceral (Omentum)"
"GTEX-1IDJI-0926-SM-ACKWZ","Adipose - Visceral (Omentum)"
"GTEX-S4Z8-0126-SM-4GICC","Adrenal Gland"
"GTEX-1I1GP-1826-SM-C1YS1","Adrenal Gland"
"GTEX-Y3IK-0226-SM-51MRJ","Adrenal Gland"
"GTEX-15ER7-1126-SM-6M47F","Adrenal Gland"
"GTEX-1LGRB-0326-SM-CNPQC","Adrenal Gland"
"GTEX-13O3O-1126-SM-5KM4Q","Artery - Aorta"
"GTEX-13FLV-1426-SM-5J1N4","Artery - Aorta"
"GTEX-13X6I-0926-SM-5LUAB","Artery - Aorta"
"GTEX-132AR-2126-SM-5K7XG","Artery - Aorta"
"GTEX-14E6C-0626-SM-664NA","Artery - Aorta"
"GTEX-1QP2A-0926-SM-E76QU","Artery - Coronary"
"GTEX-131XG-0826-SM-5LZVS","Artery - Coronary"
"GTEX-1AX9I-0926-SM-73KX8","Artery - Coronary"
"GTEX-1HCU7-1526-SM-CM2S6","Artery - Coronary"
"GTEX-13QBU-0126-SM-5LU3V","Artery - Coronary"
"GTEX-1F75A-0526-SM-9WYSS","Artery - Tibial"
"GTEX-1CB4H-0826-SM-7SB7Z","Artery - Tibial"
"GTEX-QEL4-0526-SM-3GIJ4","Artery - Tibial"
"GTEX-1CAV2-2626-SM-7MGX7","Artery - Tibial"
"GTEX-ZLV1-1926-SM-5FQSF","Artery - Tibial"
"GTEX-SNOS-0526-SM-4DM54","Bladder"
"GTEX-T2YK-2326-SM-EZ6LA","Bladder"
"GTEX-TMMY-1526-SM-4DXST","Bladder"
"GTEX-U3ZM-0826-SM-4DXU6","Bladder"
"GTEX-U3ZN-1226-SM-4DXUD","Bladder"
"GTEX-15SHU-3026-SM-6LPIB","Brain - Cerebellum"
"GTEX-QVJO-1325-SM-2S1QX","Brain - Cerebellum"
"GTEX-1GF9V-3026-SM-7P8R8","Brain - Cerebellum"
"GTEX-13G51-3126-SM-5IJG7","Brain - Cerebellum"
"GTEX-12ZZY-2926-SM-5DUXO","Brain - Cerebellum"
"GTEX-ZE9C-3026-SM-4WKHB","Brain - Cortex"
"GTEX-X585-3026-SM-46MWF","Brain - Cortex"
"GTEX-1JMLX-2926-SM-CL54C","Brain - Cortex"
"GTEX-15DCD-2926-SM-7KULT","Brain - Cortex"
"GTEX-1I1CD-3026-SM-B2LY2","Brain - Cortex"
"GTEX-1S82U-1126-SM-E9U6I","Breast - Mammary Tissue"
"GTEX-11PRG-0826-SM-5EQ6A","Breast - Mammary Tissue"
"GTEX-U3ZH-1426-SM-4DXSR","Breast - Mammary Tissue"
"GTEX-1HSMO-0826-SM-ADEIV","Breast - Mammary Tissue"
"GTEX-1B932-0826-SM-73KXG","Breast - Mammary Tissue"
"GTEX-11EI6-0008-SM-5QGR7","Cells - Cultured fibroblasts"
"GTEX-POYW-0008-SM-48TE4","Cells - Cultured fibroblasts"
"GTEX-WYJK-0008-SM-4ONDV","Cells - Cultured fibroblasts"
"GTEX-17F96-0008-SM-EAZB6","Cells - Cultured fibroblasts"
"GTEX-1A8G6-0008-SM-EWRMK","Cells - Cultured fibroblasts"
"GTEX-ZTTD-0001-SM-4YCD5","Cells - EBV-transformed lymphocytes"
"GTEX-SSA3-0002-SM-3P61R","Cells - EBV-transformed lymphocytes"
"GTEX-VUSH-0004-SM-3P61T","Cells - EBV-transformed lymphocytes"
"GTEX-11P7K-0003-SM-5S2OU","Cells - EBV-transformed lymphocytes"
"GTEX-VUSG-0003-SM-3NMDK","Cells - EBV-transformed lymphocytes"
"GTEX-S341-1126-SM-4AD6T","Cervix - Ectocervix"
"GTEX-T5JW-0726-SM-4DM6D","Cervix - Ectocervix"
"GTEX-P78B-2326-SM-EZ6KO","Cervix - Ectocervix"
"GTEX-S32W-1526-SM-4AD6Z","Cervix - Ectocervix"
"GTEX-Q2AG-2326-SM-EZ6KY","Cervix - Ectocervix"
"GTEX-P78B-2426-SM-EWRM2","Cervix - Endocervix"
"GTEX-ZPIC-1326-SM-DO91Y","Cervix - Endocervix"
"GTEX-TSE9-2726-SM-4DXSQ","Cervix - Endocervix"
"GTEX-TML8-0726-SM-4DXTT","Cervix - Endocervix"
"GTEX-S32W-1626-SM-4AD6G","Cervix - Endocervix"
"GTEX-14E1K-1626-SM-664MO","Colon - Sigmoid"
"GTEX-1QP2A-2226-SM-DTXF6","Colon - Sigmoid"
"GTEX-1F5PK-1726-SM-7RHHW","Colon - Sigmoid"
"GTEX-1LSNL-1626-SM-E9TJY","Colon - Sigmoid"
"GTEX-1IDJH-2826-SM-CJI49","Colon - Sigmoid"
"GTEX-P4PP-1426-SM-3NM9L","Colon - Transverse"
"GTEX-1MJK3-0926-SM-EV7AY","Colon - Transverse"
"GTEX-131XE-0826-SM-5HL9W","Colon - Transverse"
"GTEX-12C56-0626-SM-5EGGC","Colon - Transverse"
"GTEX-ZG7Y-2126-SM-DO117","Colon - Transverse"
"GTEX-1GN1U-1726-SM-9JGFY","Esophagus - Gastroesophageal Junction"
"GTEX-11OF3-2326-SM-5GU73","Esophagus - Gastroesophageal Junction"
"GTEX-144FL-2626-SM-5TDCW","Esophagus - Gastroesophageal Junction"
"GTEX-1NHNU-1726-SM-E76R1","Esophagus - Gastroesophageal Junction"
"GTEX-X8HC-1326-SM-46MWB","Esophagus - Gastroesophageal Junction"
