name,mz,rt,global_positive_Batch1_A1,global_positive_Batch1_A2,global_positive_Batch1_A3,global_positive_Batch1_A4,global_positive_Batch1_A5,global_positive_Batch1_F76,global_positive_Batch1_F77,global_positive_Batch1_F78,global_positive_Batch1_F79,global_positive_Batch1_F80
M51T148,51.35346146,147.5943909,NA,NA,41765.05217,50074.45109,44562.39412,116522.6016,385510.2187,176302.7137,613134.4842,198404.8697
M53T140,52.91497095,140.3714218,NA,NA,68140.85773,59260.9836,49679.11097,237367.9855,398895.9493,171648.798,225090.8379,170540.9138
M57T98,56.96454245,98.04997498,137965.2204,120125.489,148235.7284,158524.189,88746.81149,NA,77686.01098,116201.39,79180.27479,NA
M57T647,57.06941414,647.0233154,2558883.939,2019645.639,1959483.328,2455032.496,2409759.48,863475.6556,1088330.043,791669.8391,1430124.529,1158392.723
M61T118,61.03937474,117.9123802,3256075.654,1357105.084,1347664.544,950537.9673,1745819.952,473726.3718,828034.963,820307.4678,668126.4685,329759.613
M69T96,68.98192904,95.93487549,395307.2282,440740.3826,363656.7539,332340.4126,386288.2755,521578.2314,407049.7316,339182.5086,470574.1564,388737.8125
M70T121,70.0648161,120.6730194,282197.5595,282716.2455,338431.4791,45897.25332,407476.0888,225638.7455,333671.42,259207.3464,242339.9249,404323.1143
M71T98,70.98019694,97.8075,1050319.703,761176.7522,900335.3644,952860.2368,723629.9088,407141.5225,653592.3412,914228.2053,497319.8788,436531.8368
M72T146,72.08036924,146.2636414,2299308.556,2429106.415,3634765.11,2643167.669,3074627.08,3350275.475,2622114.996,2785701.155,1128846.946,1526263.688
M73T109,73.00768841,109.4860001,132486.1423,115645.5765,110166.5065,98122.62779,82977.04231,41073.42645,51888.7988,88165.93045,63237.36444,23346.22091
M73T124,73.08384451,123.8203125,67817.32486,NA,139370.6417,69609.20774,105688.3848,NA,NA,NA,NA,NA
M74T122,73.54800149,122.1156425,89835.51504,84736.56929,NA,100988.801,65121.55762,NA,NA,49704.63343,NA,NA
M74T120,74.03941279,119.7834167,36826.25397,NA,60517.98146,56249.61519,64829.67421,NA,NA,NA,NA,NA
M75T97,74.97509466,96.90647125,128848.2403,NA,177711.8557,109216.9726,163447.4936,NA,76231.51342,82463.64422,78145.55621,69499.01044
M76T121,75.94504847,121.0797768,413101.0561,425388.1486,76372.39269,86367.79892,64659.61478,NA,NA,60707.87222,119958.5759,71858.32332
